id,Product Name,Brand,Main Category,Subcategory,Size / Unit,Price,Benchmark Price,Benchmark Source,Benchmark URL,Last Checked,Pricing Note
air-wick-air-freshener-stacey-solomon-serene-sunset-essential-oils-reed-diffuser-80-ml-80ml,Air Wick Air Freshener Stacey Solomon Serene Sunset Essential Oils Reed Diffuser 80 ml,Air Wick,Cleaning & Home Care,Diffuser,80ml,31375,,,,,
air-wick-air-freshener-stacey-solomon-paradise-escape-essential-oils-reed-diffuser-80-ml-80ml,Air Wick Air Freshener Stacey Solomon Paradise Escape Essential Oils Reed Diffuser 80 ml,Air Wick,Cleaning & Home Care,Diffuser,80ml,31375,,,,,
air-wick-air-freshener-reed-diffuser-linen-lilac-42-ml-42ml,Air Wick Air Freshener Reed Diffuser Linen & Lilac 42 ml,Air Wick,Cleaning & Home Care,Diffuser,42ml,27925,,,,,
air-wick-cosy-cottage-essential-oils-reeds-diffuser-42-ml-42ml,Air Wick Cosy Cottage Essential Oils Reeds Diffuser 42 ml,Air Wick,Cleaning & Home Care,Diffuser,42ml,27925,,,,,
air-wick-mulled-wine-essential-oils-reeds-diffuser-42-ml-42ml,Air Wick Mulled Wine Essential Oils Reeds Diffuser 42 ml,Air Wick,Cleaning & Home Care,Diffuser,42ml,27925,,,,,
air-wick-essential-oils-reed-diffuser-pum-packin-spice-42-ml-42ml,Air Wick Essential Oils Reed Diffuser Pum Packin Spice 42 ml,Air Wick,Cleaning & Home Care,Diffuser,42ml,27925,,,,,
air-wick-scented-reed-diffuser-wood-1-piece,Air Wick Scented Reed Diffuser Wood,Air Wick,Cleaning & Home Care,Diffuser,1 piece,7980,,,,,
air-wick-reed-diffuser-mistletoe-pine-multi-layered-fragrance-25-ml-25ml,Air Wick Reed Diffuser Mistletoe & Pine Multi-Layered Fragrance 25 ml,Air Wick,Cleaning & Home Care,Diffuser,25ml,3635,,,,,
air-wick-reed-diffuser-life-scents-summer-delights-30-ml-30ml,Air Wick Reed Diffuser Life Scents Summer Delights 30 ml,Air Wick,Cleaning & Home Care,Diffuser,30ml,3635,,,,,
air-wick-freshmatic-diffuser-refill-assorted-250-ml-250ml,Air Wick Freshmatic Diffuser & Refill Assorted 250 ml,Air Wick,Cleaning & Home Care,Diffuser,250ml,19000,,,,,
chivita-active-citrus-mixed-fruit-juice-100-cl-100cl,Chivita Active Citrus Mixed Fruit Juice 100 cl,Chi,Beverages,Juice,100cl,2210,,,,,
chivita-active-citrus-mixed-fruit-juice-31-5-cl-x12-31-5cl-x-12,Chivita Active Citrus Mixed Fruit Juice 31.5 cl x12,Chi,Beverages,Juice,31.5cl x 12,9960,,,,,
chivita-active-zest-pet-350-ml-350ml,Chivita Active Zest Pet 350 ml,Chivita,Beverages,Juice,350ml,635,,,,,
chivita-active-vegetable-fruit-nectar-carrot-orange-100-cl-100cl,Chivita Active Vegetable Fruit Nectar Carrot & Orange 100 cl,Chi,Beverages,Juice,100cl,1890,,,,,
chivita-orange-juice-100-cl-100cl,Chivita Orange Juice 100 cl,Chi,Beverages,Juice,100cl,2585,,,,,
chivita-apple-juice-100-cl-100cl,Chivita Apple Juice 100 cl,Chi,Beverages,Juice,100cl,2585,,,,,
chivita-pineapple-juice-100-cl-100cl,Chivita Pineapple Juice 100 cl,Chi,Beverages,Juice,100cl,2585,,,,,
chivita-red-grape-juice-100-cl-100cl,Chivita Red Grape Juice 100 cl,Chi,Beverages,Juice,100cl,2415,,,,,
four-cousins-natural-sweet-red-wine-75-cl-75cl,Four Cousins Natural Sweet Red Wine 75 cl,Four Cousins,Beverages,Red Wine,75cl,8695,,,,,
carlo-rossi-sweet-red-wine-75-cl-75cl,Carlo Rossi Sweet Red Wine 75 cl,Carlo Rossi,Beverages,Red Wine,75cl,9850,,,,,
4th-street-sweet-red-wine-75-cl-75cl,4th Street Sweet Red Wine 75 cl,4th Street,Beverages,Red Wine,75cl,4970,,,,,
baron-romero-spanish-red-wine-75-cl-75cl,Baron Romero Spanish Red Wine 75 cl,Baron Romero,Beverages,Red Wine,75cl,4475,,,,,
castillo-de-espana-tempranillo-garnacha-75-cl-75cl,Castillo De Espana Tempranillo Garnacha 75 cl,Castillo De Espana,Beverages,Red Wine,75cl,6300,,,,,
four-cousins-natural-sweet-rose-wine-75-cl-75cl,Four Cousins Natural Sweet Rose Wine 75 cl,Four Cousins,Beverages,Rose Wine,75cl,8695,,,,,
carlo-rossi-wine-peach-flavour-75-cl-75cl,Carlo Rossi Wine Peach Flavour 75 cl,Carlo Rossi,Beverages,Rose Wine,75cl,9590,,,,,
4th-street-sweet-rose-wine-75-cl-75cl,4th Street Sweet Rose Wine 75 cl,4th Street,Beverages,Rose Wine,75cl,4970,,,,,
four-cousins-dry-white-wine-75-cl-75cl,Four Cousins Dry White Wine 75 cl,Four Cousins,Beverages,White Wine,75cl,9155,,,,,
4th-street-sweet-white-wine-75-cl-75cl,4th Street Sweet White Wine 75 cl,4th Street,Beverages,White Wine,75cl,4970,,,,,
toma-bodegas-lozano-fruity-red-wine-75-cl-75cl,Toma Bodegas Lozano Fruity Red Wine 75 cl,Toma,Beverages,Red Wine,75cl,5120,,,,,
castillo-grande-tempranillo-vino-tinto-75-cl-75cl,Castillo Grande Tempranillo Vino Tinto 75 cl,Castillo Grande,Beverages,Red Wine,75cl,6250,,,,,
dominio-del-rey-sweet-red-wine-75-cl-75cl,Dominio Del Rey Sweet Red Wine 75 cl,Dominio Del Rel,Beverages,Red Wine,75cl,6930,,,,,
casa-solis-merlot-75-cl-75cl,Casa Solis Merlot 75 cl,Casa Solis,Beverages,Red Wine,75cl,9640,,,,,
ocean-beach-californian-red-wine-75-cl-75cl,Ocean Beach Californian Red Wine 75 cl,Ocean Beach,Beverages,Red Wine,75cl,7280,,,,,
casillero-del-diablo-sauvignon-blanc-75-cl-75cl,Casillero Del Diablo Sauvignon Blanc 75 cl,Casillero Del Diablo,Beverages,White Wine,75cl,14215,,,,,
tall-horse-chardonnay-75-cl-75cl,Tall Horse Chardonnay 75 cl,Tall Horse,Beverages,White Wine,75cl,14130,,,,,
frontera-sauvignon-blanc-75-cl-75cl,Frontera Sauvignon Blanc 75 cl,Frontera,Beverages,White Wine,75cl,9210,,,,,
dominio-del-rey-white-wine-75-cl-75cl,Dominio Del Rey White Wine 75 cl,Dominio Del Rel,Beverages,White Wine,75cl,6930,,,,,
castillo-de-espana-white-wine-75-cl-75cl,Castillo De Espana White Wine 75 cl,Castillo De Espana,Beverages,White Wine,75cl,6250,,,,,
double-a-business-a4-printing-paper-75-gsm-75gsm,Double A Business A4 Printing Paper 75 gsm,Double A,Stationery,Printing Paper,75gsm,7950,,,,,
double-a-business-a4-printing-paper-75-gsm-x5-75gsm-x-5,Double A Business A4 Printing Paper 75 gsm x5,Double A,Stationery,Printing Paper,75gsm x 5,39350,,,,,
suzano-report-a4-printing-paper-75-gsm-x5-75gsm-x-5,Suzano Report A4 Printing Paper 75 gsm x5,Suzano Report,Stationery,Printing Paper,75gsm x 5,38500,,,,,
iq-a4-paper-80-gsm-80gsm,IQ A4 Paper 80 gsm,IQ,Stationery,Printing Paper,80gsm,3240,,,,,
chamex-a4-paper-75-gsm-75gsm,Chamex A4 Paper 75 gsm,Chamex,Stationery,Printing Paper,75gsm,1400,,,,,
paperline-a4-paper-80-gsm-80gsm,Paperline A4 Paper 80 gsm,Paperline,Stationery,Printing Paper,80gsm,1900,,,,,
rotatrim-mondi-a4-paper-80-gsm-80gsm,Rotatrim Mondi A4 Paper 80 gsm,Rotatrim,Stationery,Printing Paper,80gsm,3240,,,,,
hp-papers-everyday-a4-printing-paper-80-gsm-x5-80gsm-x-5,HP Papers Everyday A4 Printing Paper 80 gsm x5,HP,Stationery,Printing Paper,80gsm x 5,13500,,,,,
ppc-a4-printing-paper-70-gsm-x5-70gsm,PPC A4 Printing Paper 70 gsm x5,PPC,Stationery,Printing Paper,70gsm,12500,,,,,
thermal-printer-paper-rolls-80-x-80-mm-x50-80-x-80mm-x-50,Thermal Printer Paper Rolls 80 x 80 mm x50,Generic,Stationery,Printing Paper,80 x 80mm x 50,13800,,,,,
eezee-biro-blue-x25-25-pieces,Eezee Biro - Blue x25,Eezee,Stationery,Pens,25 pieces,3000,,,,,
eezee-biro-red-1-piece,Eezee Biro - Red,Eezee,Stationery,Pens,1 piece,45,,,,,
bic-mechanical-pencil-0-5-mm-0-5mm,Bic Mechanical Pencil 0.5 mm,Bic,Stationery,Pencils,0.5mm,1000,,,,,
helix-oxford-hb-pencil-x12-12-pieces,Helix Oxford HB Pencil x12,Helix,Stationery,Pencils,12 pieces,3450,,,,,
pelikan-twist-roller-pen-blue-pink-2-ink-cartridges-ink-eradictor-1-set,Pelikan Twist Roller Pen Blue/Pink + 2 Ink Cartridges + Ink Eradictor,Pelikan,Stationery,Pens,1 set,12900,,,,,
snopake-pinpoint-correction-pen-1-piece,Snopake Pinpoint Correction Pen,Snopake,Stationery,Correction Supplies,1 piece,590,,,,,
bic-whiteboard-marker-black-1-piece,Bic Whiteboard Marker - Black,Bic,Stationery,Markers,1 piece,1350,,,,,
bic-whiteboard-marker-red-1-piece,Bic Whiteboard Marker - Red,Bic,Stationery,Markers,1 piece,1350,,,,,
m-g-whiteboard-marker-blue-1-piece,M & G Whiteboard Marker Blue,M & G,Stationery,Markers,1 piece,440,,,,,
maped-whiteboard-marker-medium-x4-4-pieces,Maped Whiteboard Marker Medium x4,Maped,Stationery,Markers,4 pieces,5500,,,,,
nexus-jotters-1-piece,Nexus Jotters,Nexus,Stationery,Notebooks,1 piece,380,,,,,
mead-college-ruled-filler-paper-11-x-8-inches-200-sheets-200-sheets,Mead College Ruled Filler Paper 11 x 8 Inches 200 Sheets,Mead,Stationery,Notebooks,200 sheets,9400,,,,,
rexel-colourhide-notebook-feint-a5-pink-a5,Rexel ColourHide Notebook Feint A5 - Pink,Rexel,Stationery,Notebooks,A5,1450,,,,,
rexel-colourhide-notebook-feint-a5-lime-a5,Rexel ColourHide Notebook Feint A5 - Lime,Rexel,Stationery,Notebooks,A5,1450,,,,,
global-notes-75-x-75-mm-sticky-notes-100-sheets-yellow-100-sheets,Global Notes 75 x 75 mm Sticky Notes 100 Sheets - Yellow,Global Notes,Stationery,Sticky Notes,100 sheets,1550,,,,,
global-notes-125-x-75-mm-sticky-notes-100-sheets-yellow-100-sheets,Global Notes 125 x 75 mm Sticky Notes 100 Sheets - Yellow,Global Notes,Stationery,Sticky Notes,100 sheets,1900,,,,,
elephant-sticky-note-standard-3-x-3-melody-500-sheets-500-sheets,Elephant Sticky Note Standard 3 x 3 Melody - 500 Sheets,Elephant,Stationery,Sticky Notes,500 sheets,6500,,,,,
global-notes-15-x-50-mm-page-marker-brilliant-mix-100-sheets-x-5-100-sheets-x-5,Global Notes 15 x 50 mm Page Marker Brilliant Mix  100 Sheets x 5,Global Notes,Stationery,Page Markers,100 sheets x 5,2850,,,,,
rexel-active-carry-folder-a4-a4,Rexel Active Carry Folder A4,Rexel,Stationery,Files & Folders,A4,2000,,,,,
envelope-a4-white-a4,Envelope - A4 White,Generic,Stationery,Envelopes,A4,150,,,,,
polypropylene-foolscap-clip-board-blue-1-piece,Polypropylene Foolscap Clip Board - Blue,Generic,Stationery,Clipboards,1 piece,820,,,,,
polypropylene-foolscap-clip-board-black-1-piece,Polypropylene Foolscap Clip Board - Black,Generic,Stationery,Clipboards,1 piece,820,,,,,
petty-cash-voucher-1-pad,Petty Cash Voucher,Generic,Stationery,Admin Forms,1 pad,1250,,,,,
maped-scissors-essentials-symmetrical-13-cm-13cm,Maped Scissors Essentials Symmetrical 13 cm,Maped,Stationery,Desk Tools,13cm,1800,,,,,
helix-oxford-scissors-13-cm-13cm,Helix Oxford Scissors 13 cm,Helix,Stationery,Desk Tools,13cm,2500,,,,,
rexel-r30-compact-stapler-grey-1-piece,Rexel R30 Compact Stapler - Grey,Rexel,Stationery,Staplers,1 piece,2680,,,,,
maped-stapler-essentials-mini-n10-1-piece,Maped Stapler Essentials Mini N10,Maped,Stationery,Staplers,1 piece,3550,,,,,
elephant-stapler-x10-10-pieces,Elephant Stapler x10,Elephant,Stationery,Staplers,10 pieces,5200,,,,,
m-g-12-digits-desktop-calculator-two-way-power-mgc-02-12-digits,M & G 12 Digits Desktop Calculator Two Way Power MGC-02,M & G,Stationery,Calculators,12 digits,5955,,,,,
sharp-electronic-calculator-1-piece,Sharp Electronic Calculator,Sharp,Stationery,Calculators,1 piece,4600,,,,,
masking-tape-1-roll,Masking Tape,Generic,Stationery,Tape & Adhesives,1 roll,900,,,,,
sealing-tape-2-inch-transparent-130-yards-2-inch,Sealing Tape 2 Inch Transparent - 130 Yards,Generic,Stationery,Tape & Adhesives,2 inch,1950,,,,,
0-5-inch-tape-x12-12-rolls,0.5 Inch Tape x12,Generic,Stationery,Tape & Adhesives,12 rolls,8200,,,,,
cellotape-clear-1-roll,Cellotape - Clear,Generic,Stationery,Tape & Adhesives,1 roll,800,,,,,
elephant-sticko-super-glue-3-g-3g,Elephant Sticko Super Glue 3 g,Elephant,Stationery,Tape & Adhesives,3g,1900,,,,,
cotton-twine-1-roll,Cotton Twine,Generic,Stationery,Desk Tools,1 roll,1700,,,,,
elephant-round-paper-clip-no-1-33-mm-33mm,Elephant Round Paper Clip No. 1 33 mm,Elephant,Stationery,Paper Clips,33mm,1350,,,,,
mixed-accessory-set-clips-pins-binders-1-set,Mixed Accessory Set - Clips Pins Binders,Generic,Stationery,Paper Clips,1 set,3250,,,,,
maped-paper-clip-dispenser-paper-clips-x100-black-100-clips,Maped Paper Clip Dispenser + Paper Clips x100 - Black,Maped,Stationery,Paper Clips,100 clips,1800,,,,,
paper-clips-coloured-x100-100-clips,Paper Clips - Coloured x100,Generic,Stationery,Paper Clips,100 clips,280,,,,,
rexel-anti-slip-folder-a4-clear-x25-a4-x-25,Rexel Anti-Slip Folder A4 Clear x25,Rexel,Stationery,Files & Folders,A4 x 25,12400,,,,,
